# 업비트 가상화폐 전체 종목 코드 (202개)
# 2025-01-13 기준

# 사용법: python market_analyzer.py
# 선택: 2 (암호화폐)
# 코인 ID 입력: bitcoin, ethereum, solana 등

KRW-WAXP	왁스	WAX
KRW-CARV	카브	CARV
KRW-LSK	리스크	Lisk
KRW-0G	제로지	0G
KRW-BORA	보라	BORA
KRW-PUNDIX	펀디엑스	Pundi X
KRW-USD1	월드리버티파이낸셜유에스디	World Liberty Financial USD
KRW-BAT	베이직어텐션토큰	Basic Attention Token
KRW-HUNT	헌트	HUNT
KRW-PENGU	펏지펭귄	Pudgy Penguins
KRW-FIL	파일코인	Filecoin
KRW-BEAM	빔	Beam
KRW-DOOD	두들즈	Doodles
KRW-WAVES	웨이브	Waves
KRW-USDC	유에스디코인	USD Coin
KRW-MOVE	무브먼트	Movement
KRW-TREE	트리하우스	Treehouse
KRW-AERGO	아르고	Aergo
KRW-USDT	테더	Tether
KRW-2Z	더블제로	DoubleZero
KRW-BOUNTY	체인바운티	Chainbounty
KRW-KAITO	카이토	KAITO
KRW-LPT	라이브피어	Livepeer
KRW-BLAST	블라스트	Blast
KRW-DKA	디카르고	dKargo
KRW-ANKR	앵커	Ankr
KRW-ALGO	알고랜드	Algorand
KRW-SHIB	시바이누	Shiba Inu
KRW-UNI	유니스왑	Uniswap
KRW-WLFI	월드리버티파이낸셜	World Liberty Financial
KRW-TOKAMAK	토카막네트워크	Tokamak Network
KRW-CYBER	사이버	Cyber
KRW-DOGE	도지코인	Dogecoin
KRW-WLD	월드코인	Worldcoin
KRW-PEPE	페페	Pepe
KRW-HBAR	헤데라	Hedera
KRW-BCH	비트코인캐시	Bitcoin Cash
KRW-NEWT	뉴턴프로토콜	Newton Protocol
KRW-SEI	세이	Sei
KRW-BONK	봉크	Bonk
KRW-JST	저스트	JUST
KRW-AAVE	에이브	Aave
KRW-JTO	지토	Jito
KRW-JUP	주피터	Jupiter
KRW-FLOW	플로우	Flow
KRW-ALT	알트레이어	Altlayer
KRW-LAYER	솔레이어	Solayer
KRW-TRX	트론	TRON
KRW-POWR	파워렛저	Power ledger
KRW-ATOM	코스모스	Cosmos
KRW-ARKM	아캄	Arkham
KRW-CRO	크로노스	Cronos
KRW-NXPC	넥스페이스	Nexpace
KRW-A	볼타	Vaulta
KRW-TRUMP	오피셜트럼프	Official Trump
KRW-G	그래비티	Gravity
KRW-CELO	셀로	Celo
KRW-AERO	에어로드롬파이낸스	Aerodrome Finance
KRW-CTC	크레딧코인	Creditcoin
KRW-ANIME	애니메코인	Animecoin
KRW-APT	앱토스	Aptos
KRW-MOCA	모카네트워크	Moca Network
KRW-API3	에이피아이쓰리	API3
KRW-AHT	아하토큰	AhaToken
KRW-EGLD	멀티버스엑스	MultiversX
KRW-ERA	칼데라	Caldera
KRW-FF	팔콘파이낸스	Falcon Finance
KRW-NEO	네오	NEO
KRW-ETC	이더리움클래식	Ethereum Classic
KRW-IOTA	아이오타	IOTA
KRW-IOST	아이오에스티	IOST
KRW-AKT	아카시네트워크	Akash Network
KRW-COW	카우프로토콜	CoW Protocol
KRW-VIRTUAL	버추얼프로토콜	Virtuals Protocol
KRW-ETH	이더리움	Ethereum
KRW-IQ	아이큐	IQ.wiki
KRW-IP	스토리	Story
KRW-NEAR	니어프로토콜	NEAR Protocol
KRW-RVN	레이븐코인	Ravencoin
KRW-AGLD	어드벤처골드	Adventure Gold
KRW-ID	스페이스아이디	SPACE ID
KRW-IN	인피닛	Infinit
KRW-WAL	월러스	Walrus
KRW-PENDLE	펜들	Pendle
KRW-BLUR	블러	Blur
KRW-AWE	에이더블유이	AWE Network
KRW-THETA	쎄타토큰	Theta Token
KRW-AXL	엑셀라	Axelar
KRW-HP	히포프로토콜	Hippo Protocol
KRW-SAND	샌드박스	The Sandbox
KRW-WCT	월렛커넥트	WalletConnect
KRW-AXS	엑시인피니티	Axie Infinity
KRW-ARDR	아더	Ardor
KRW-AQT	알파쿼크	Alpha Quark Token
KRW-ME	매직에덴	Magic Eden
KRW-SONIC	소닉SVM	Sonic SVM
KRW-ARB	아비트럼	Arbitrum
KRW-POL	폴리곤에코시스템토큰	Polygon Ecosystem Token
KRW-CVC	시빅	Civic
KRW-T	쓰레스홀드	Threshold
KRW-W	웜홀	Wormhole
KRW-ARK	아크	Ark
KRW-AVNT	아반티스	Avantis
KRW-LA	라그랑주	Lagrange
KRW-HYPER	하이퍼레인	Hyperlane
KRW-ATH	에이셔	Aethir
KRW-TAIKO	타이코	Taiko
KRW-AVAX	아발란체	Avalanche
KRW-IMX	이뮤터블엑스	Immutable X
KRW-SC	시아코인	Siacoin
KRW-INJ	인젝티브	Injective
KRW-MVL	엠블	MVL
KRW-HIVE	하이브	Hive
KRW-CBK	코박토큰	Cobak Token
KRW-OM	만트라	MANTRA
KRW-XLM	스텔라루멘	Lumen
KRW-OP	옵티미즘	Optimism
KRW-SAFE	세이프	Safe
KRW-GLM	골렘	Golem
KRW-SUPER	슈퍼버스	SuperVerse
KRW-LINEA	리네아	Linea
KRW-POKT	포켓네트워크	Pocket Network
KRW-ZKC	바운드리스	Boundless
KRW-KNC	카이버네트워크	Kyber Network
KRW-AUCTION	바운스토큰	Bounce
KRW-DRIFT	드리프트	Drift
KRW-FCT2	피르마체인	FirmaChain
KRW-MTL	메탈	Metal
KRW-VET	비체인	VeChain
KRW-QTUM	퀀텀	Qtum
KRW-TT	썬더코어	ThunderCore
KRW-LINK	체인링크	Chainlink
KRW-XRP	엑스알피(리플)	XRP
KRW-CHZ	칠리즈	Chiliz
KRW-ASTR	아스타	Astar
KRW-STORJ	스토리지	Storj
KRW-ENA	에테나	Ethena
KRW-MANA	디센트럴랜드	Decentraland
KRW-OPEN	오픈렛저	OpenLedger
KRW-GRS	그로스톨코인	Groestlcoin
KRW-PYTH	피스네트워크	Pyth Network
KRW-UXLINK	유엑스링크	UXLINK
KRW-ENS	이더리움네임서비스	Ethereum Name Service
KRW-GRT	더그래프	The Graph
KRW-PUMP	펌프펀	Pump.fun
KRW-XTZ	테조스	Tezos
KRW-CKB	너보스	Nervos Network
KRW-KAVA	카바	Kava
KRW-TOSHI	토시	Toshi
KRW-BARD	롬바드	Lombard
KRW-ZRO	레이어제로	LayerZero
KRW-RAY	레이디움	Raydium
KRW-ONDO	온도파이낸스	Ondo Finance
KRW-ZRX	제로엑스	0x Protocol
KRW-GMT	스테픈	Stepn
KRW-TFUEL	쎄타퓨엘	Theta Fuel
KRW-XPL	플라즈마	Plasma
KRW-MASK	마스크네트워크	Mask Network
KRW-COMP	컴파운드	Compound
KRW-ZETA	제타체인	ZetaChain
KRW-RED	레드스톤	RedStone
KRW-TIA	셀레스티아	Celestia
KRW-ADA	에이다	Ada
KRW-ELF	엘프	aelf
KRW-STEEM	스팀	Steem
KRW-SOPH	소폰	Sophon
KRW-MED	메디블록	MediBloc
KRW-1INCH	1인치네트워크	1inch Network
KRW-MEW	캣인어독스월드	cat in a dogs world
KRW-ORBS	오브스	Orbs
KRW-RENDER	렌더토큰	Render Token
KRW-STG	스타게이트파이낸스	Stargate Finance
KRW-ORCA	오르카	Orca
KRW-BERA	베라체인	Berachain
KRW-SIGN	사인	Sign
KRW-VANA	바나	Vana
KRW-DOT	폴카닷	Polkadot
KRW-MBL	무비블록	MovieBloc
KRW-FLUID	플루이드	Fluid
KRW-BIGTIME	빅타임	Big Time
KRW-SNT	스테이터스네트워크토큰	Status Network Token
KRW-SOL	솔라나	Solana
KRW-QKC	쿼크체인	QuarkChain
KRW-META	메타디움	Metadium
KRW-SAHARA	사하라에이아이	Sahara AI
KRW-MLK	밀크	MiL.k
KRW-SXP	솔라	SXP
KRW-VTHO	비토르토큰	VeThor Token
KRW-OMNI	옴니네트워크	Omni Network
KRW-MINA	미나	Mina
KRW-GAS	가스	GAS
KRW-MNT	맨틀	Mantle
KRW-MOC	모스코인	Moss Coin
KRW-MOODENG	무뎅	Moo Deng
KRW-XEC	이캐시	eCash
KRW-ZIL	질리카	Zilliqa
KRW-GAME2	게임빌드	GameBuild
KRW-STX	스택스	Stacks
KRW-FLOCK	플록	FLock.io
KRW-PROVE	서싱트	Succinct
KRW-BSV	비트코인에스브이	Bitcoin SV
KRW-SUI	수이	Sui
KRW-SYRUP	메이플파이낸스	Maple Finance
KRW-BTC	비트코인	Bitcoin
KRW-HOLO	홀로월드에이아이	Holoworld AI
KRW-MIRA	미라네트워크	Mira Network
KRW-SUN	썬	SUN
KRW-ONG	온톨로지가스	ONG
KRW-BTT	비트토렌트	BitTorrent
KRW-ONT	온톨로지	Ontology
KRW-SOMI	솜니아	Somnia
KRW-DEEP	딥북	DeepBook
KRW-STRAX	스트라티스	Stratis
KRW-ICX	아이콘	Icon
KRW-POLYX	폴리매쉬	Polymesh
